index,message,reply
1013,"Right, I figured the same thing! I don't think he's good and if he wins I think we know for sure it was rigged.","Well one problem is the election is based on the electoral college more than actual peoples votes. If we could get rid of the electoral college and get back to the popular vote, like it should be, he wouldn't even have won the first time."
1014,"Well one problem is the election is based on the electoral college more than actual peoples votes. If we could get rid of the electoral college and get back to the popular vote, like it should be, he wouldn't even have won the first time.",For sure. They should do it like athens did back in the day. Use a lottery system to prevent oligarchy! I think he is cheating the system
1015,For sure. They should do it like athens did back in the day. Use a lottery system to prevent oligarchy! I think he is cheating the system,"Yep and nothing is being done about it. Bill Clinton cheated on his wife and every one through a fit and started impeachment proceedings, but Trump supposedly gets away with treason and it really grinds my gears."
1016,"Yep and nothing is being done about it. Bill Clinton cheated on his wife and every one through a fit and started impeachment proceedings, but Trump supposedly gets away with treason and it really grinds my gears.","For sure, and cheating on his wife a bunch of times!"
1017,"For sure, and cheating on his wife a bunch of times!","yeah Clinton was not a good husband but he was a pretty darn good president, I will never understand why his personal life mattered to so many people, and then when it looks like we have an actual traitor in the seat no one seems to care."
1018,"yeah Clinton was not a good husband but he was a pretty darn good president, I will never understand why his personal life mattered to so many people, and then when it looks like we have an actual traitor in the seat no one seems to care.","for sure, people made good money and the economy was great! Good chatting with you!"
1019,"for sure, people made good money and the economy was great! Good chatting with you!","Yeah same to you, good chat."
1020,"Yeah same to you, good chat.",bye!
1021,bye!,"Hello, do you follow politics much?"
1022,"Hello, do you follow politics much?","Hi I do from time to time, it is hard to escape them all together. Did you know every republican president has had a beard? "
1023,"Hi I do from time to time, it is hard to escape them all together. Did you know every republican president has had a beard? ","Oh pretty cool fact. And since 1853 the president has been either a republican or a democrat
"
1024,"Oh pretty cool fact. And since 1853 the president has been either a republican or a democrat
","Wow pretty dominant. THey did not start using the colors red and blue until 2000, I thought it was earlier than that"
1025,"Wow pretty dominant. THey did not start using the colors red and blue until 2000, I thought it was earlier than that","Yeah it does feel late, you are right. Did you hear about Truman and his refusal to take a photo on the dumbo ride?"
1026,"Yeah it does feel late, you are right. Did you hear about Truman and his refusal to take a photo on the dumbo ride?","Yeah he just id not want to be associated with Republicans in any way, shape or form and the dumbo is their logo"
1027,"Yeah he just id not want to be associated with Republicans in any way, shape or form and the dumbo is their logo","Yup pretty much. DO you know how officials were elected in ancient athens?
"
1028,"Yup pretty much. DO you know how officials were elected in ancient athens?
","Yes by lottery, and I wonder how that would work nowadays probably a mess"
1029,"Yes by lottery, and I wonder how that would work nowadays probably a mess","Hahah agreed. In Nevada you have the options to not vote for any of the candidates, I like that"
1030,"Hahah agreed. In Nevada you have the options to not vote for any of the candidates, I like that","Me too, I wish it were in all the states. Too bad not a lot of people show up at the polls though
"
1031,"Me too, I wish it were in all the states. Too bad not a lot of people show up at the polls though
",Yeah I hope we can go past that almost 63%. We need to all vote
1032,Yeah I hope we can go past that almost 63%. We need to all vote,Yes I agree. Since 1990 it seems the taller candidate has been winning the election. Coincidence?
1033,Yes I agree. Since 1990 it seems the taller candidate has been winning the election. Coincidence?,Hmm interesting one. DO you know what the Beatles song Come together was written for?
1034,Hmm interesting one. DO you know what the Beatles song Come together was written for?,Yeah it was for the California governor Timothy Leary in 1969
1035,Yeah it was for the California governor Timothy Leary in 1969,Yeah that one. When Schwarzenegger was governor of California he did not live in Sacramento and commuted ever day
1036,Yeah that one. When Schwarzenegger was governor of California he did not live in Sacramento and commuted ever day,"But he did not have it rough, he travelled by private jet 3 hours each day"
1037,"But he did not have it rough, he travelled by private jet 3 hours each day",Good for him I guess. North Dakota governor declared martial law in 1934
1038,Good for him I guess. North Dakota governor declared martial law in 1934,Yes and then seceded from the US. WOw
1039,Yes and then seceded from the US. WOw,"In Texas, the first female governor was elected before other stated had ratified the amendment"
1040,"In Texas, the first female governor was elected before other stated had ratified the amendment","Nice, seems they were a bit more ahead of time/. Ralph Lawrence  Carr was the only governor that did not agree with the internment of japane americans during WWII"
1041,"Nice, seems they were a bit more ahead of time/. Ralph Lawrence  Carr was the only governor that did not agree with the internment of japane americans during WWII",Must have been tough being the only guy.
1042,Must have been tough being the only guy.,The Republican Party is really popular in the states do you agree?
1043,The Republican Party is really popular in the states do you agree?,Unfortunately yes.  It is not like the republican party of old times.
1044,Unfortunately yes.  It is not like the republican party of old times.,"Yeah a lot of things have changed, funny anecdote with Truman and Dumbo though"
1045,"Yeah a lot of things have changed, funny anecdote with Truman and Dumbo though",That is a good one.  Poor Dumbo.  He probably didnt realize what was happening.  They should have brought out Eeyore instead.
1046,That is a good one.  Poor Dumbo.  He probably didnt realize what was happening.  They should have brought out Eeyore instead.,"I know right Dumbo didnt have the fault lol, I bet he isnt a Republican either,"
1047,"I know right Dumbo didnt have the fault lol, I bet he isnt a Republican either,",Probably not.  He might wear blue for all we know.
1048,Probably not.  He might wear blue for all we know.,"So the red and blue colors, seem like they have been around forever but its a recent thing from the year 2000"
1049,"So the red and blue colors, seem like they have been around forever but its a recent thing from the year 2000",That is surprising!  I feel like they have always been there as far back as I can remember.
1050,That is surprising!  I feel like they have always been there as far back as I can remember.,"It sure seems like a lot longer, so elections are really important Im just glad we have that choice many countries dont"
1051,"It sure seems like a lot longer, so elections are really important Im just glad we have that choice many countries dont","Very true, which is why it is surprising election turnout hasnt gotten above 63%"
1052,"Very true, which is why it is surprising election turnout hasnt gotten above 63%","And thats how we end up with leaders like Trump lol, also the taller candidate wins 75% of the time, interesting stat"
1053,"And thats how we end up with leaders like Trump lol, also the taller candidate wins 75% of the time, interesting stat",So we need to find someone taller than him for 2020.  Lets start searching now. lol
1054,So we need to find someone taller than him for 2020.  Lets start searching now. lol,"We sure do lol, did you know Nevada is the only state with the option ''None of these''"
1055,"We sure do lol, did you know Nevada is the only state with the option ''None of these''",They have that?  Ok... im kinda jealous now.
1056,They have that?  Ok... im kinda jealous now.,"They do, seems like the best option at times lol"
1057,"They do, seems like the best option at times lol",It really does.  
1058,It really does.  ,I think one of the best governors is Schwarzenegger would be cool to have the terminator as president one day
1059,I think one of the best governors is Schwarzenegger would be cool to have the terminator as president one day,It really would1
1060,It really would1,"He is a great actor but also a great politician, he has done a lot for California and is a really popular guy"
1061,"He is a great actor but also a great politician, he has done a lot for California and is a really popular guy","He really has.  Did you know he commuted by private jet each day, 3 hours!"
1062,"He really has.  Did you know he commuted by private jet each day, 3 hours!","Sounds like a really busy guy, anyways its time for lunch, its been great chatting with you but Im taking a break, thanks a lot"
1063,"Sounds like a really busy guy, anyways its time for lunch, its been great chatting with you but Im taking a break, thanks a lot",What did you think of the last couple elections?
1064,What did you think of the last couple elections?,I think it has been great for the country. people have come to realize the power of the vote.
1065,I think it has been great for the country. people have come to realize the power of the vote.,That is a great point. I want to keep seeing more and more voter turnout. It hasn't been more than 62.8 percent in 100 years
1066,That is a great point. I want to keep seeing more and more voter turnout. It hasn't been more than 62.8 percent in 100 years,the vote should be mandatory. then people would see the power of the ballot.
1067,the vote should be mandatory. then people would see the power of the ballot.,"I agree, I am sure other countries do that. I don't think we should go back to how ancient athens did it, do you know how?"
1068,"I agree, I am sure other countries do that. I don't think we should go back to how ancient athens did it, do you know how?",i think they used a lottery. that would help avoid power falling into certain hands consistenly.
1069,i think they used a lottery. that would help avoid power falling into certain hands consistenly.,yea and hoping the lottery would not allow an oligarchy. I wonder if that worked or not
1070,yea and hoping the lottery would not allow an oligarchy. I wonder if that worked or not,"it probably slowed it down. officials can still bribed, even randomly elected ones."
1071,"it probably slowed it down. officials can still bribed, even randomly elected ones.",Yea you're right. I am sure it was rigged. How do you like Republicans?
1072,Yea you're right. I am sure it was rigged. How do you like Republicans?,"well, they can be bribed after the fact once elected. The country has shifted farther right, so they are pretty far right now."
1073,"well, they can be bribed after the fact once elected. The country has shifted farther right, so they are pretty far right now.",Yea that is a good point. is your governer part of that far right?
1074,Yea that is a good point. is your governer part of that far right?,"no, i dont think so. i think that the far right is usually in the south. "
1075,"no, i dont think so. i think that the far right is usually in the south. ","Yea I think so too, our governor is republican but not a far right one. There was only one governor who opposed internment of japanese people in ww2"
1076,"Yea I think so too, our governor is republican but not a far right one. There was only one governor who opposed internment of japanese people in ww2","yeah, during wartime it is hard to stop people from acting on hate. i expect that could happen again soon if there is war with chna."
1077,"yeah, during wartime it is hard to stop people from acting on hate. i expect that could happen again soon if there is war with chna.","for sure, I am sure something big will happen in our lifetime. It is bound to happen. I still can't believe schwarzenegger was governor"
1078,"for sure, I am sure something big will happen in our lifetime. It is bound to happen. I still can't believe schwarzenegger was governor","he had notoriety to launch a campaign. if you are rich, famous, tall, etc you can run for govt. i figure the future is all about marketing, not content."
1079,"he had notoriety to launch a campaign. if you are rich, famous, tall, etc you can run for govt. i figure the future is all about marketing, not content.",He was the terminator! That is all he needed! lol
1080,He was the terminator! That is all he needed! lol,"yeah, the governator. he was not a good speaker but people knew him. he didnt get much done because he didnt understand politics."
1081,"yeah, the governator. he was not a good speaker but people knew him. he didnt get much done because he didnt understand politics.","For sure, I would have voted for him if I was in california, even though he ruined the state. "
1082,"For sure, I would have voted for him if I was in california, even though he ruined the state. ","people that should run government do not run for office. if they run for office, we probably dont want them in there."
1083,"people that should run government do not run for office. if they run for office, we probably dont want them in there.",I agree with you. It was so nice chatting with you!
1084,I agree with you. It was so nice chatting with you!,No. I think it's so interesting that the Republican Party is referred to as the Grand old party.
1085,No. I think it's so interesting that the Republican Party is referred to as the Grand old party.,I agree.  I wonder why they gave themselves that moniker.  
1086,I agree.  I wonder why they gave themselves that moniker.  ,Yeah I'm not sure. But every US president with a beard has been Republican.
1087,Yeah I'm not sure. But every US president with a beard has been Republican.,True.  I also heard that Hillary Clinton was president of the young republicans when she was in college.
1088,True.  I also heard that Hillary Clinton was president of the young republicans when she was in college.,Oh that's interesting especially given the fact that she just ran Democrat. The red and blue colors for Republicans and Democrats only started in 2000.
1089,Oh that's interesting especially given the fact that she just ran Democrat. The red and blue colors for Republicans and Democrats only started in 2000.,That really got me.  I thought they were always around representing the parties.  
1090,That really got me.  I thought they were always around representing the parties.  ,Yeah me too but it sounds like they used to use animals more. Truman seem to take that very seriously especially at Disneyland.
1091,Yeah me too but it sounds like they used to use animals more. Truman seem to take that very seriously especially at Disneyland.,I heard... poor Dumbo.  He probably didnt even understand.
1092,I heard... poor Dumbo.  He probably didnt even understand.,Ha ha yeah I bet he was so confused. It's funny to think that ride has been around since 1957.
1093,Ha ha yeah I bet he was so confused. It's funny to think that ride has been around since 1957.,"It really is, it was my favorite as a kid, much to the detriment of my parents.  LOL"
1094,"It really is, it was my favorite as a kid, much to the detriment of my parents.  LOL",Haha thats funny. Apparently officials in ancient athens were appointed by lottery because they believe elections would lead to oligarchy.
1095,Haha thats funny. Apparently officials in ancient athens were appointed by lottery because they believe elections would lead to oligarchy.,Well elections also lead to a dog being elected mayor... so I dont know what is worse.
1096,Well elections also lead to a dog being elected mayor... so I dont know what is worse.,Haha yes good point. I hope that one day the voter turnout for presidential elections will breach 63%.
1097,Haha yes good point. I hope that one day the voter turnout for presidential elections will breach 63%.,Me too.  Did you know the faster blinker has lost every election since 1980.  Who even calculates that data.
1098,Me too.  Did you know the faster blinker has lost every election since 1980.  Who even calculates that data.,Yeah that is definitely an odd stat.
1099,Yeah that is definitely an odd stat.,There is even a cat that placed 3rd in the Virginia Senate election.  How can animals even run?  That is just crazy
1100,There is even a cat that placed 3rd in the Virginia Senate election.  How can animals even run?  That is just crazy,"Haha i guess you can vote for anything. Like blinking, another odd stat is the tallest candidate has won in 75% of elections."
1101,"Haha i guess you can vote for anything. Like blinking, another odd stat is the tallest candidate has won in 75% of elections.",So we need to look for a slow blinker and a tall person for 2020.
1102,So we need to look for a slow blinker and a tall person for 2020.,"Yeah they will no doubt win! Nevada is actually the only state to have a ""none of these"" candidates voting option."
1103,"Yeah they will no doubt win! Nevada is actually the only state to have a ""none of these"" candidates voting option.","That is brilliant, especially if it forces new candidates."
1104,"That is brilliant, especially if it forces new candidates.",Yea more states should do it maybe. More states should elect women too. Texas elected their first female governor before some states even ratified the 19th amendment!
1105,Yea more states should do it maybe. More states should elect women too. Texas elected their first female governor before some states even ratified the 19th amendment!,Do you follow politics?
1106,Do you follow politics?,I do. I just learned that the Republican Party was founded by anti-slavery activists. Surprising.
1107,I do. I just learned that the Republican Party was founded by anti-slavery activists. Surprising.,I never knew that.  There hasn't been a US president who wasn't a Republican or Democrat since 1853.
1108,I never knew that.  There hasn't been a US president who wasn't a Republican or Democrat since 1853.,That's a good thing! Did you know in 1957 President Harry Truman visited Disneyland and refused to be photographed on the Dumbo ride so he wouldn't be associated with the Republican Party?
1109,That's a good thing! Did you know in 1957 President Harry Truman visited Disneyland and refused to be photographed on the Dumbo ride so he wouldn't be associated with the Republican Party?,That's funny!  Consistent use of the red and blue colors for Republicans and Democrats started in 2000.  Could have swore they used those colors before then.
1110,That's funny!  Consistent use of the red and blue colors for Republicans and Democrats started in 2000.  Could have swore they used those colors before then.,"Really? I thought so too! Did you know Nevada is the only state to have a ""none of these candidates"" voting option for Presidential elections?"
1111,"Really? I thought so too! Did you know Nevada is the only state to have a ""none of these candidates"" voting option for Presidential elections?",I didn't know that.  Every US president with a beard has been a Republican.  Interesting.
1112,I didn't know that.  Every US president with a beard has been a Republican.  Interesting.,Huh. I never noticed! Hard to believe voter turnout for US Presidential elections hasn't breached 62.8% in the last 100 years.
1113,Huh. I never noticed! Hard to believe voter turnout for US Presidential elections hasn't breached 62.8% in the last 100 years.,That's an amazing statistic.  Wow.  Since 1900 the taller candidate has won the US presidential election 75 percent of the time.
1114,That's an amazing statistic.  Wow.  Since 1900 the taller candidate has won the US presidential election 75 percent of the time.,Oh that is funny! During the 2012 US elections international electoral observers were blocked from the polls in 9 states.
1115,Oh that is funny! During the 2012 US elections international electoral observers were blocked from the polls in 9 states.,Interesting.  Do you ever vote for the governor in your state?  I do.
1116,Interesting.  Do you ever vote for the governor in your state?  I do.,"I do. Can you believe when Arnold Schwarzenegger was governor of CA he never lived in Sacramento, instead he commuted 3 hours every day by private jet."
1117,"I do. Can you believe when Arnold Schwarzenegger was governor of CA he never lived in Sacramento, instead he commuted 3 hours every day by private jet.",Didn't know that.  I bet that would get old though flying like that every day.
1118,Didn't know that.  I bet that would get old though flying like that every day.,It is certainly a lot. Did you know the Beatles song Come Together was actually written for Tim Leary's 1969 CA Governor campaign.
1119,It is certainly a lot. Did you know the Beatles song Come Together was actually written for Tim Leary's 1969 CA Governor campaign.,I had no idea.  Wonder why a British band at the time would write a song for an American election?  Interesting.
1120,I had no idea.  Wonder why a British band at the time would write a song for an American election?  Interesting.,Very! Did you know Ralph Lawrence Carr was the only Governor to oppose the internment of Japanese Americans during WW2?
1121,Very! Did you know Ralph Lawrence Carr was the only Governor to oppose the internment of Japanese Americans during WW2?,I didn't know that.  I've heard about when they did that though to those people.
1122,I didn't know that.  I've heard about when they did that though to those people.,"It's something else, that's for sure."
1123,"It's something else, that's for sure.",In 1934 I see that North Dakota's governor declared martial law and seceded from the US.  I'm learning all kinds of new things today.
1124,In 1934 I see that North Dakota's governor declared martial law and seceded from the US.  I'm learning all kinds of new things today.,"Wow! Well, Texas elected their first female Governor, the second in the nation, before some states even ratified the 19th amendment. "
1125,"Wow! Well, Texas elected their first female Governor, the second in the nation, before some states even ratified the 19th amendment. ",Looks like Texas was ahead of the times!  Thanks for chatting!
1126,Looks like Texas was ahead of the times!  Thanks for chatting!,Are you aware that the taller candidate for president has won 75% of the elections of them time. 
1127,Are you aware that the taller candidate for president has won 75% of the elections of them time. ,Hello - it doesn't surprise me. I've even heard that taller people in interviews for jobs tend to get the job more often.
1128,Hello - it doesn't surprise me. I've even heard that taller people in interviews for jobs tend to get the job more often.,"Crazy, is that true? "
1129,"Crazy, is that true? ","Not sure how true it is, but that's what I've been told. Did you know Hillary Clinton was president of young republicans in college?"
1130,"Not sure how true it is, but that's what I've been told. Did you know Hillary Clinton was president of young republicans in college?",I'm not surprised. Did you know Arnold traveled 3 hours a day to Sacramento when he was the governor? 
1131,I'm not surprised. Did you know Arnold traveled 3 hours a day to Sacramento when he was the governor? ,Wow that's crazy. I can't imagine traveling that far for work. 
1132,Wow that's crazy. I can't imagine traveling that far for work. ,Me either. Did you know Tim Leary ran for governor of CA? 
1133,Me either. Did you know Tim Leary ran for governor of CA? ,"I did not know that, but that's interesting. I didn't know congress has played a democrat vs. republican baseball game every year since 1909. "
1134,"I did not know that, but that's interesting. I didn't know congress has played a democrat vs. republican baseball game every year since 1909. ","I did, it must be one boring game! "
1135,"I did, it must be one boring game! ",Yea I bet it is a very boring game. A cat named Hank placed third in a Virginia senate election once before. 
1136,Yea I bet it is a very boring game. A cat named Hank placed third in a Virginia senate election once before. ,I can believe it. Did you know Nevada is the only stat that has a none of these candidates as a voting option? 
1137,I can believe it. Did you know Nevada is the only stat that has a none of these candidates as a voting option? ,Wow I didn't know that about Nevada. 
1138,Wow I didn't know that about Nevada. ,"Yeah, must be an interesting state to live in. Have you ever visited there? "
1139,"Yeah, must be an interesting state to live in. Have you ever visited there? ",I have been to Las Vegas twice. What about you?
1140,I have been to Las Vegas twice. What about you?,"Yeah, I've been. But I don't think a majority of the people that visit there vote. "
1141,"Yeah, I've been. But I don't think a majority of the people that visit there vote. ","Yea, I'm not too sure on that. I saw that all elections conducted in Oregon are conducted by mail."
1142,"Yea, I'm not too sure on that. I saw that all elections conducted in Oregon are conducted by mail.","Interesting. It rains a lot in Oregon, have you ever visited? "
1143,"Interesting. It rains a lot in Oregon, have you ever visited? ","Never been to Oregon, but not a state I think I would want to live in with all of the rain they get. "
1144,"Never been to Oregon, but not a state I think I would want to live in with all of the rain they get. ","Yeah, I'm not a huge fan of rainy states to be honest. "
1145,"Yeah, I'm not a huge fan of rainy states to be honest. ",Me either. Did you know the government of Oklahoma has an Oklahoma shaped pool?
1146,Me either. Did you know the government of Oklahoma has an Oklahoma shaped pool?,"No, weird. Is a hew a professional swimmer? "
1147,"No, weird. Is a hew a professional swimmer? ",Do you watch many movies in the theaters?
1148,Do you watch many movies in the theaters?,Yes I love watching movies! Summer was considered a bad time to release a movie in the theater because of low sales until steven spielberg's jaws.
1149,Yes I love watching movies! Summer was considered a bad time to release a movie in the theater because of low sales until steven spielberg's jaws.,Steven spielberg still makes millions from star wars off a bet with george lucas they made in 1977!
1150,Steven spielberg still makes millions from star wars off a bet with george lucas they made in 1977!,"haha thats awesome,  I wonder what the bet was.Steven spielberg played the clarinet in the jaws soundtrack. "
1151,"haha thats awesome,  I wonder what the bet was.Steven spielberg played the clarinet in the jaws soundtrack. ",I was wondering the same! After filming the goonies steven spielberg flew the entire cast to hawaii and surprised director richard donner with a cookout.
1152,I was wondering the same! After filming the goonies steven spielberg flew the entire cast to hawaii and surprised director richard donner with a cookout.,Amazing!  Thats so nice. When steven spielberg rode jurassic park the ride on opening day he requested that he was let off before the 84 foot drop
1153,Amazing!  Thats so nice. When steven spielberg rode jurassic park the ride on opening day he requested that he was let off before the 84 foot drop,"Too funny! Speaking of entertainers that make a lot of money, With over $8.5 billion worldwide film earnings, tom hanks is the highest all-time box office star."
1154,"Too funny! Speaking of entertainers that make a lot of money, With over $8.5 billion worldwide film earnings, tom hanks is the highest all-time box office star.",He is very talented. Disney considered shutting down their animation studio after sleeping beauty was a box office failure.
1155,He is very talented. Disney considered shutting down their animation studio after sleeping beauty was a box office failure.,"Good thing they didn't! Disney's ""treasure planet"" was one of the most expensive box office flops of all time."
1156,"Good thing they didn't! Disney's ""treasure planet"" was one of the most expensive box office flops of all time.","yeah,  I read that recently,  I never saw it.  The movie trojan wars with a budget of $15,000,000 has earned only $309 in box office"
1157,"yeah,  I read that recently,  I never saw it.  The movie trojan wars with a budget of $15,000,000 has earned only $309 in box office",Yikes! The silence of the lambs came out on valentine's day in 1991 and had a box office of over $270 million.
1158,Yikes! The silence of the lambs came out on valentine's day in 1991 and had a box office of over $270 million.,That movie was great and creepy at the same time.  
1159,That movie was great and creepy at the same time.  ,Super creepy. Spielberg became a household name as the director of Jaws.
1160,Super creepy. Spielberg became a household name as the director of Jaws.,Did you know that More than 80 percent of the earth's natural forests have already been destroyed
1161,Did you know that More than 80 percent of the earth's natural forests have already been destroyed,That's sad. About 71% of Earth's surface is covered with water.
1162,That's sad. About 71% of Earth's surface is covered with water.,"Also, When earth was first formed a day was only 5.5 hours long.  Such short days!  i wouldnt mind going to work for only 2 hours lol "
1163,"Also, When earth was first formed a day was only 5.5 hours long.  Such short days!  i wouldnt mind going to work for only 2 hours lol ","That would be great! If earth's entire history was viewed as a 24 hour period, humans would only represent 1 minute and 17 seconds."
1164,"That would be great! If earth's entire history was viewed as a 24 hour period, humans would only represent 1 minute and 17 seconds.","Mind blown!  I love these facts! In september of 2010, the united nations appointed official ambassador to extraterrestrials in they case they would ever make contact with earth"
1165,"Mind blown!  I love these facts! In september of 2010, the united nations appointed official ambassador to extraterrestrials in they case they would ever make contact with earth",What?! Thats funny. Earth formed over 4.5 billion years ago.
1166,What?! Thats funny. Earth formed over 4.5 billion years ago.,The earth is old!  Earth will be virtually helium-free by the end of the 21st century
1167,The earth is old!  Earth will be virtually helium-free by the end of the 21st century,"Wow. The majority of Earth's polar regions are covered in ice, including the Antarctic ice sheet and the sea ice of the Arctic ice pack. "
1168,"Wow. The majority of Earth's polar regions are covered in ice, including the Antarctic ice sheet and the sea ice of the Arctic ice pack. ",was good talking to you!
1169,was good talking to you!,Did you ever watch ET?
1170,Did you ever watch ET?,"Yes, I did.  It was the movie when I was a kid!"
1171,"Yes, I did.  It was the movie when I was a kid!",Seems like Steven Spielberg is trying to return to his glory with Ready Player One. Have you seen that?
1172,Seems like Steven Spielberg is trying to return to his glory with Ready Player One. Have you seen that?,"No, I haven't see it.  Have you?"
1173,"No, I haven't see it.  Have you?","I have't either. At the premiere screening the sound cut out. But instead of booing, the audience member cheers and makes their own sound effects."
1174,"I have't either. At the premiere screening the sound cut out. But instead of booing, the audience member cheers and makes their own sound effects.","Well that was sure nice of them to do that, I'm sure Spielberg appreciated it!"
1175,"Well that was sure nice of them to do that, I'm sure Spielberg appreciated it!","Right, usually that would be embarrassment. That was cool of the audience. Ready Player One is another childlike adventure where virtual reality dominates."
1176,"Right, usually that would be embarrassment. That was cool of the audience. Ready Player One is another childlike adventure where virtual reality dominates.","It sounds cool, my grandkids would probably like it.  I remember when I first saw Jaws, it scared me to death!"
1177,"It sounds cool, my grandkids would probably like it.  I remember when I first saw Jaws, it scared me to death!","Yeah, I know what you mean. Ready Player one takes place on an Earth where people go to VR to escape their real life problems. I can totally imagine this happening in the future."
1178,"Yeah, I know what you mean. Ready Player one takes place on an Earth where people go to VR to escape their real life problems. I can totally imagine this happening in the future.","OMG, goodness, alot of people would def get hooked on that! Do you watch alot of movies?"
1179,"OMG, goodness, alot of people would def get hooked on that! Do you watch alot of movies?",I don't really though I like Disney movies. How about you?
1180,I don't really though I like Disney movies. How about you?,"Me too, I love Disney movies.  I read that Disney considered shutting down their animation studio after Sleeping Beauty flopped."
1181,"Me too, I love Disney movies.  I read that Disney considered shutting down their animation studio after Sleeping Beauty flopped.",I didn't even know that Sleeping Beauty was a flop! Treasure Planet was also a Disney movie and was the most expensive box office flops of all times.
1182,I didn't even know that Sleeping Beauty was a flop! Treasure Planet was also a Disney movie and was the most expensive box office flops of all times.,I did know that Treasure Planet was a big time flop.  I can't remember anybody that saw it saying they liked it. I read that Tom Hanks is the highest all time box office star.
1183,I did know that Treasure Planet was a big time flop.  I can't remember anybody that saw it saying they liked it. I read that Tom Hanks is the highest all time box office star.,Would  you see the Silence of the Lambs on Valentine's day? That's the day it came out in 1991. It made over $270 million in box office.
1184,Would  you see the Silence of the Lambs on Valentine's day? That's the day it came out in 1991. It made over $270 million in box office.,"I remember seeing it, but it wasn't on Valentine's day!"
1185,"I remember seeing it, but it wasn't on Valentine's day!",Trojan Wars on the other hand ws a failure. It had a 15 million budget and earned only $309 in box office.
1186,Trojan Wars on the other hand ws a failure. It had a 15 million budget and earned only $309 in box office.,That's pitiful!
1187,That's pitiful!,"Yes that is quite sad. Another sad thing is even though humans are destroying the earth, if earth's history was viewed as a 24 hour period, humans would only represent one minute and 17 seconds."
1188,"Yes that is quite sad. Another sad thing is even though humans are destroying the earth, if earth's history was viewed as a 24 hour period, humans would only represent one minute and 17 seconds.","Awesome, I read somewhere that when the Earth was formed a day was only 5 1/2 hours.  "
1189,"Awesome, I read somewhere that when the Earth was formed a day was only 5 1/2 hours.  ","Wow, I can't even get enough done in 24 hours!"
1190,"Wow, I can't even get enough done in 24 hours!","Hi Turker, are you familiar with Steven Spielberg? "
1191,"Hi Turker, are you familiar with Steven Spielberg? ",Hey. Steven Spielberg is one of the most popular directors. Seen so many of his films. 
1192,Hey. Steven Spielberg is one of the most popular directors. Seen so many of his films. ,"Yes you are right, have you seen E.T? if yes, did you like the movie, I know it's an old movie."
1193,"Yes you are right, have you seen E.T? if yes, did you like the movie, I know it's an old movie.","Yes it is an old movie. I like older movies. I remember when the game for the atari came out, they literally had to mass dump the product  in a field somewhere."
1194,"Yes it is an old movie. I like older movies. I remember when the game for the atari came out, they literally had to mass dump the product  in a field somewhere.","Yes I heard about that, but I wonder if the atari could have been recycle, just to think about all those Items were destroyed."
1195,"Yes I heard about that, but I wonder if the atari could have been recycle, just to think about all those Items were destroyed.",Yeah. its funny that he made all these movies here for all humans to see. Here on planet earth. A 4.5 million year old rock. I wonder if aliens seen our movies? 
1196,Yeah. its funny that he made all these movies here for all humans to see. Here on planet earth. A 4.5 million year old rock. I wonder if aliens seen our movies? ,"yes you are right, I really like all the Jurassic Parks, I have watched those movies several times."
1197,"yes you are right, I really like all the Jurassic Parks, I have watched those movies several times.","Dude!!! Tell me about it. Its crazy that Tom hanks made so much money. Making 8,5 billion worldwide and wasnt in any of the sagas. not in star wars and not in jurassic park."
1198,"Dude!!! Tell me about it. Its crazy that Tom hanks made so much money. Making 8,5 billion worldwide and wasnt in any of the sagas. not in star wars and not in jurassic park.","Yes Tom Hanks made a lot of money also, did you know Steven Spielberg played the clarinet in jaws?"
1199,"Yes Tom Hanks made a lot of money also, did you know Steven Spielberg played the clarinet in jaws?","That is so cool how invlolved he is. I read that a movie named trojan wars costed $15,000,000 to make and only made $309. I need to find out what movie that is lol"
1200,"That is so cool how invlolved he is. I read that a movie named trojan wars costed $15,000,000 to make and only made $309. I need to find out what movie that is lol","Wow what a loss, did you know Steven Spielberg still make millions from star wars because a bet from George Lucas in 1977?"
1201,"Wow what a loss, did you know Steven Spielberg still make millions from star wars because a bet from George Lucas in 1977?",Yes I read that. I did not know that he Directed The Color Purple. Saving private ryan was one of my favorites though.
1202,Yes I read that. I did not know that he Directed The Color Purple. Saving private ryan was one of my favorites though.,Either me I just recently saw color purple and it still a good movie like  I have seen it for the first time.
1203,Either me I just recently saw color purple and it still a good movie like  I have seen it for the first time.,You see how big Oprah is now right? She was wonderful in that movie.
1204,You see how big Oprah is now right? She was wonderful in that movie.,"Yes she was, do you usually purchase your tickets from the box office or purchase online?"
1205,"Yes she was, do you usually purchase your tickets from the box office or purchase online?",I always buy it online. I try to avoid missing out on big titles like star wars. Pick it up at the theatre.
1206,I always buy it online. I try to avoid missing out on big titles like star wars. Pick it up at the theatre.,Did you know that more than 80 percent of the earth natural forests already been destroyed?
1207,Did you know that more than 80 percent of the earth natural forests already been destroyed?,"Yeah I read that. And we continue to use our resources like we dont have a clue whats going on. If global warming hits us, think of the already 71 % water covering earth. It will be catastrophic "
1208,"Yeah I read that. And we continue to use our resources like we dont have a clue whats going on. If global warming hits us, think of the already 71 % water covering earth. It will be catastrophic ","Yes you are right, we can't see it because most of the water is underneath us. "
